e_total,e_c0,e_c1
1,0.171428571428571,0.0866141732283464,0.395833333333333
2,0.140952380952381,0.0678851174934726,0.338028169014085
3,0.144761904761905,0.0714285714285714,0.394957983193277
4,0.142857142857143,0.085,0.328
5,0.139047619047619,0.0767263427109974,0.32089552238806
6,0.156190476190476,0.0831353919239906,0.451923076923077
7,0.140952380952381,0.0769230769230769,0.352459016393443
8,0.148571428571429,0.0772946859903382,0.414414414414414
9,0.142857142857143,0.0738916256157636,0.378151260504202
10,0.16952380952381,0.0805194805194805,0.414285714285714
11,0.165714285714286,0.0962025316455696,0.376923076923077
12,0.163809523809524,0.0537084398976982,0.485074626865672
13,0.148571428571429,0.0715990453460621,0.452830188679245
14,0.142857142857143,0.058974358974359,0.385185185185185
15,0.140952380952381,0.0788177339901478,0.352941176470588
16,0.112380952380952,0.0736342042755345,0.269230769230769
17,0.144761904761905,0.082901554404145,0.316546762589928
18,0.15047619047619,0.0759803921568627,0.41025641025641
19,0.165714285714286,0.100737100737101,0.389830508474576
20,0.129523809523809,0.0719602977667494,0.319672131147541
21,0.163809523809524,0.0867346938775511,0.390977443609023
22,0.163809523809524,0.103359173126615,0.333333333333333
23,0.158095238095238,0.0757575757575758,0.410852713178295
24,0.148571428571429,0.0671834625322998,0.376811594202899
25,0.154285714285714,0.0788804071246819,0.378787878787879
26,0.173333333333333,0.0663265306122449,0.488721804511278
27,0.158095238095238,0.0824742268041238,0.372262773722628
28,0.177142857142857,0.0757575757575758,0.488372093023256
29,0.15047619047619,0.0744416873449132,0.401639344262295
30,0.16952380952381,0.0812807881773399,0.470588235294118
31,0.16,0.0747422680412371,0.401459854014598
32,0.158095238095238,0.0734177215189873,0.415384615384615
33,0.171428571428571,0.0829145728643216,0.448818897637795
34,0.148571428571429,0.0714285714285714,0.411764705882353
35,0.137142857142857,0.0576441102756893,0.388888888888889
36,0.179047619047619,0.110552763819096,0.393700787401575
37,0.135238095238095,0.0538461538461539,0.37037037037037
38,0.154285714285714,0.0961038961038961,0.314285714285714
39,0.16,0.0621761658031088,0.431654676258993
40,0.165714285714286,0.0886699507389163,0.428571428571429
