e_total,e_c0,e_c1
1,0.131428571428571,0.0375,0.432
2,0.156190476190476,0.0452261306532663,0.503937007874016
3,0.154285714285714,0.0527638190954773,0.47244094488189
4,0.165714285714286,0.044973544973545,0.476190476190476
5,0.148571428571429,0.0393120393120393,0.525423728813559
6,0.15047619047619,0.0526315789473685,0.532710280373832
7,0.184761904761905,0.0535714285714286,0.571428571428571
8,0.148571428571429,0.0545905707196029,0.459016393442623
9,0.154285714285714,0.0597014925373134,0.463414634146341
10,0.165714285714286,0.0835443037974684,0.415384615384615
11,0.158095238095238,0.0612745098039216,0.495726495726496
12,0.167619047619048,0.0380710659898477,0.557251908396946
13,0.173333333333333,0.0430379746835443,0.569230769230769
14,0.180952380952381,0.0759803921568627,0.547008547008547
15,0.188571428571429,0.0701754385964912,0.563492063492063
16,0.161904761904762,0.0395778364116095,0.479452054794521
17,0.129523809523809,0.0277078085642317,0.4453125
18,0.146666666666667,0.0297029702970297,0.537190082644628
19,0.152380952380952,0.0419753086419753,0.525
20,0.16,0.056,0.42
21,0.156190476190476,0.0495049504950495,0.512396694214876
22,0.161904761904762,0.0535714285714286,0.481203007518797
23,0.163809523809524,0.0746268656716418,0.455284552845528
24,0.137142857142857,0.0464547677261614,0.456896551724138
25,0.154285714285714,0.0615763546798029,0.470588235294118
26,0.146666666666667,0.054726368159204,0.447154471544715
27,0.154285714285714,0.0429292929292929,0.496124031007752
28,0.156190476190476,0.0561224489795918,0.451127819548872
29,0.152380952380952,0.055,0.464
30,0.161904761904762,0.0641975308641975,0.491666666666667
31,0.152380952380952,0.0487179487179488,0.451851851851852
32,0.146666666666667,0.051219512195122,0.48695652173913
33,0.173333333333333,0.0609137055837563,0.511450381679389
34,0.16,0.0475,0.52
35,0.165714285714286,0.057356608478803,0.516129032258065
36,0.129523809523809,0.0382653061224489,0.398496240601504
37,0.165714285714286,0.0833333333333334,0.452991452991453
38,0.156190476190476,0.062953995157385,0.5
39,0.148571428571429,0.0346534653465347,0.528925619834711
40,0.139047619047619,0.0609756097560976,0.417391304347826
