testy,V1
9385,1,-0.00749136530489536
7712,0,0.603545996402826
6754,0,0.0875512885047119
6158,0,-0.0374628587991122
3560,0,0.399715866251302
9492,1,0.448306166397152
9570,1,0.3134705307574
1744,0,-0.023370592729659
4702,0,-0.103317238779878
7883,0,0.275513002606814
2504,0,0.131993356250217
2036,0,0.00956094398056251
3403,0,0.0667586046602631
7832,0,0.0997510029057369
3639,0,0.111783352707462
10404,1,0.817810251955433
6749,0,-0.0339775309714878
640,0,-0.00951677422321529
9357,1,0.65382113133539
6385,0,0.0187419941056512
9353,1,0.73958566774943
1265,0,0.500019616291254
9175,1,0.382982721307608
10187,1,0.233253892754892
8424,1,0.406161495102844
72,0,0.633419940532517
1509,0,0.00755382587361808
1198,0,0.00231248128001438
7488,0,-0.00191874651762558
195,0,0.0347701184515752
8582,1,0.938240982699353
867,0,0.140157785552627
5554,0,-0.0208164030213446
370,0,0.225860435625655
5688,0,0.139282680499394
8919,1,0.662370557967995
9535,1,0.00577535551656907
5468,0,0.420969613834851
4892,0,0.67683071409126
1334,0,0.0319607173374854
2507,0,-0.0436866364233137
10282,1,0.129511780442527
1290,0,-0.104150675039542
2212,0,-0.0554867269185192
5627,0,0.436974183159468
1111,0,0.206367690224801
4174,0,0.384594930551787
912,0,0.586398807761757
5728,0,0.0111629807140849
5182,0,-0.0122421158534811
4382,0,-0.0121912624944904
4390,0,0.241170611061554
2274,0,-0.0812287599099746
5358,0,0.0232514487610622
2820,0,0.222695093082104
9256,1,0.440070649288947
3419,0,0.0467865366117748
920,0,0.192969373612066
9030,1,0.518895383447252
5780,0,0.154212002392861
7945,0,0.0931043089014234
6287,0,0.257756567678187
3805,0,-0.00370180802032105
9803,1,-0.120019836203816
10027,1,0.76663159083251
8270,1,0.609080593210097
10466,1,0.299731219925034
5797,0,0.00581670020458169
1042,0,-0.0385058398845994
7953,0,0.267435420469395
2324,0,0.0772524549124062
9366,1,0.69556473127687
4556,0,0.102590541785562
1838,0,-0.0135962919190307
3540,0,0.140456403528701
2987,0,0.599112456289337
7627,0,0.914910933006464
8076,1,0.732198392479111
2245,0,-0.02637244206541
6915,0,0.282566969856221
1089,0,0.181158897996137
4558,0,0.235474200331616
7059,0,0.262836960130491
5929,0,0.084350215381724
8794,1,0.516733980916234
8970,1,0.450619937374821
8591,1,1.12328233893734
2518,0,0.0779140786334751
9692,1,0.673512516492395
7700,0,0.194065521160844
6942,0,-0.0130895858096076
6066,0,-0.0268064418838738
9815,1,0.121507775555561
9930,1,0.487123190278433
1822,0,-0.0111701828358142
1422,0,0.134642743481562
6777,0,0.083541716382571
4664,0,0.289403192567781
4435,0,0.0653085055364943
5365,0,0.0132497279492714
7246,0,0.212814388309417
3066,0,0.06218101400433
2127,0,0.297066632848741
9566,1,0.503681146419643
10225,1,0.272462598739233
5010,0,0.507206531753047
10285,1,-0.152212033946133
4153,0,-0.0116916044646138
10130,1,0.407613059901947
3691,0,0.146663357708893
10303,1,0.0651819860186755
1644,0,0.0123557850129736
5623,0,1.28512281244558
4061,0,0.319431685471023
5295,0,0.39771287896198
3865,0,-0.0312179935926937
3998,0,0.351028347821224
3605,0,0.283760904105154
670,0,0.110429791911637
8915,1,-0.053817521126522
7005,0,0.775601521100992
7323,0,-0.012027721116014
2886,0,0.0623664994200295
5880,0,0.210042050632084
3633,0,0.00656284436161514
4162,0,-0.00962423837079851
6542,0,-0.0170038070175464
2849,0,0.624684062815209
10406,1,0.39954734913054
8473,1,0.510664458248144
1866,0,0.307747487918814
8204,1,-0.00232929847058727
4739,0,-0.0123109100484842
2656,0,0.254494916742368
5936,0,0.383265152127783
4414,0,0.16065541296752
9643,1,0.553846220372378
8948,1,0.0536702201100334
550,0,0.179110952827349
9778,1,1.08725289276104
9669,1,1.07846346688499
6611,0,0.265475572668939
945,0,-0.00178848095667128
4871,0,-0.191814863394632
1595,0,-0.0138625642744714
5620,0,0.458376521657437
4905,0,0.777516606902005
2367,0,0.00500153312608553
4676,0,0.193253115274746
6402,0,0.148533463285529
6055,0,0.124088265039669
2377,0,-0.183173834904852
10338,1,-0.0163490628160237
3019,0,-0.0112420027822158
1735,0,-0.204072270784972
8869,1,0.0310343835905365
10124,1,0.526523846993033
5300,0,0.227900491693167
7912,0,0.198281832619406
7368,0,-0.00969307266044894
6541,0,-0.0205059941924317
1127,0,-0.098518660134041
2701,0,-0.0149691422391283
3742,0,0.21067127943463
9486,1,0.465841511433341
5041,0,-0.13080791937993
6922,0,-0.152270942522308
5977,0,-0.0988366860630214
3024,0,0.0390101945869432
7020,0,-0.0138089260573828
8479,1,-0.0345351309504509
9263,1,1.0556981292921
5782,0,0.205895237719105
6694,0,-0.0126522218286764
5612,0,0.340451841850364
852,0,0.357695555898388
1815,0,0.0215370655298353
1206,0,0.130520940158596
7249,0,-0.00186311240382864
9081,1,0.265334959439508
119,0,0.105840487149006
1220,0,0.0386866780770084
9508,1,0.744354162536012
7060,0,0.091766838107525
344,0,0.189969649396505
7055,0,0.432653669667628
8258,1,0.218580701877266
9413,1,1.05096448631633
260,0,0.369710188065918
334,0,-0.13640527014665
5480,0,-0.0132146069925803
1157,0,0.365050506238226
5282,0,0.35786963844186
2389,0,0.313454421520164
2571,0,-0.156240124156684
10288,1,0.997538436339379
5352,0,0.466841035987974
3042,0,0.0786864910645333
8392,1,0.27496108415086
5829,0,-0.0131484932842418
5093,0,0.495096122335687
3234,0,0.119234970827707
4209,0,0.472729652517589
3239,0,-0.00883457434994739
6736,0,0.40366228765174
2182,0,-0.0335915589704601
6700,0,-0.00426253918946751
6945,0,0.410076311261237
10456,1,0.0502509384152051
1384,0,0.303511342699753
3969,0,-0.201679769547572
9105,1,0.610970627273706
4947,0,0.0890489437853861
6073,0,-0.00173122109323454
10400,1,0.502179491507222
4350,0,0.390262262619415
1690,0,-0.12252208489119
7860,0,0.109931384696109
4835,0,0.00376789558256707
9655,1,-0.0561201608005122
6795,0,0.00345825402530742
4516,0,-0.230039772501821
3756,0,-0.0154126134666512
8162,1,0.97601675861278
