testy,V1
8435,1,0.173656260810694
2916,0,0.173656260810694
4111,0,0.219183432433419
4150,0,0.0273309170092684
4804,0,0.377938480938031
3292,0,0.218477939026606
8060,1,0.369910911153674
6876,0,0.218477939026606
6628,0,0.218477939026606
2597,0,0.218477939026606
4157,0,0.218477939026606
5546,0,0.249906015098129
8902,1,0.357963205238409
2548,0,0.334448397115893
2972,0,0.348159623763997
111,0,0.218477939026606
6263,0,0.338858813664101
6175,0,0.262614340601366
4545,0,0.0273309170092684
10168,1,0.384140427008156
9490,1,0.348159623763997
3319,0,0.218477939026606
2912,0,0.291841035746105
441,0,0.384140427008156
2459,0,0.262614340601366
4480,0,0.0214678785298247
1699,0,0.218477939026606
6346,0,0.182931135862784
8756,1,0.359970831391957
8302,1,0.362450963381993
127,0,0.301602886847039
3574,0,-0.016822082522376
8177,1,0.359970831391957
9955,1,0.281609765210063
2252,0,0.218477939026606
6134,0,0.218477939026606
6451,0,0.150835001652998
8300,1,0.282776539749761
3593,0,0.218477939026606
2942,0,0.218477939026606
3790,0,0.217391280014627
4977,0,0.38862097713987
6948,0,-0.0180407285964201
6954,0,-0.016822082522376
10392,1,0.385203719752568
9814,1,0.38862097713987
2547,0,0.38862097713987
4470,0,0.173656260810694
4578,0,0.218477939026606
2868,0,0.218477939026606
2383,0,0.106383323698312
2674,0,0.369910911153674
2451,0,0.0851734830441027
10322,1,0.262614340601366
1808,0,0.106383323698312
6419,0,0.359970831391957
9098,1,0.262614340601366
10172,1,0.38862097713987
8332,1,0.301810085478685
8758,1,0.218477939026606
5058,0,0.301602886847039
2828,0,0.377938480938031
10160,1,0.347224370419907
5810,0,0.241271858510316
3280,0,0.219183432433419
5276,0,0.196518106154058
9658,1,0.388776998016399
7969,0,0.150835001652998
4281,0,0.282776539749761
5074,0,0.218477939026606
3207,0,0.334448397115893
6086,0,0.359970831391957
9314,1,0.218477939026606
7652,0,0.348159623763997
5456,0,0.0103724211916113
8097,1,0.128334094647235
8221,1,0.218477939026606
4457,0,0.201419226475886
6946,0,0.106383323698312
7586,0,-0.0180407285964201
8583,1,0.369234945265833
1991,0,0.218477939026606
8770,1,0.391451896123562
5319,0,0.218477939026606
5430,0,0.0455422402851104
1674,0,0.173656260810694
148,0,0.369910911153674
8042,1,0.38862097713987
4128,0,0.218477939026606
2751,0,0.0214678785298247
7696,0,0.173656260810694
570,0,0.0648549880379055
3366,0,0.0455422402851104
6607,0,0.218477939026606
8347,1,0.338858813664101
2998,0,0.218477939026606
4285,0,0.241271858510316
5580,0,0.392762628288364
1393,0,0.0273309170092684
4923,0,0.38068141987889
9182,1,0.385203719752568
8963,1,0.369234945265833
8845,1,0.262614340601366
4603,0,0.150835001652998
7992,0,0.218477939026606
3370,0,0.218477939026606
8089,1,0.315012159518037
1742,0,0.359970831391957
10400,1,0.369910911153674
6118,0,0.0103724211916113
8119,1,0.38862097713987
3465,0,0.218477939026606
2107,0,0.241271858510316
9623,1,0.282776539749761
2349,0,-0.016822082522376
9153,1,0.218477939026606
1089,0,0.128334094647235
9322,1,0.241271858510316
823,0,-0.0180407285964201
7951,0,0.320998307281853
6559,0,0.173656260810694
8674,1,0.377938480938031
7982,0,0.403596067540919
8411,1,0.38862097713987
8059,1,0.359970831391957
3241,0,0.0273309170092684
2239,0,0.106383323698312
9459,1,0.385203719752568
5861,0,0.330106821772976
4786,0,0.318869834132348
347,0,0.218477939026606
1275,0,0.282776539749761
