testy,V1
9867,1,0.215360570830911
2048,0,0.0936477692444842
2373,0,0.0936477692444842
4489,0,0.380458387143797
8809,1,0.215360570830911
517,0,0.0991727097287724
5386,0,0.215360570830911
369,0,0.242286153220438
10459,1,0.160460411515616
6680,0,0.215360570830911
10104,1,0.260999467553662
10172,1,0.387065686450705
6931,0,0.215360570830911
2631,0,0.202651974617192
2548,0,0.326142381688405
9118,1,0.3966857820919
1881,0,0.301736036113156
2289,0,0.202651974617192
4894,0,0.389755057279198
5596,0,-0.0139342077829075
2474,0,0.00342251193175566
10229,1,0.326142381688405
3099,0,0.389755057279198
3669,0,0.202996878157701
2659,0,0.12434596437032
5042,0,0.138582479661004
9080,1,0.215360570830911
9363,1,0.339651837111545
2290,0,0.351894566145787
9175,1,0.301736036113156
8449,1,0.339651837111545
2419,0,0.222848306191404
1638,0,0.301736036113156
6427,0,0.351894566145787
2463,0,0.215360570830911
325,0,0.242286153220438
6844,0,0.372380039448386
3632,0,0.351894566145787
1375,0,0.351064185102163
4227,0,0.39211918198095
10214,1,0.301736036113156
6753,0,0.295608820647924
1675,0,0.389755057279198
5466,0,0.215360570830911
901,0,0.387065686450705
10169,1,0.215360570830911
4403,0,0.326142381688405
792,0,0.116285440133729
6852,0,0.393961266280999
7766,0,0.339651837111545
5182,0,-0.0254319723186748
7626,0,0.160460411515616
6982,0,0.0707680903817635
1041,0,0.380458387143797
5957,0,0.215360570830911
8219,1,0.380458387143797
330,0,0.126407984765643
7157,0,0.181846188830916
1547,0,-0.0254319723186748
3415,0,0.278772946233641
4556,0,0.215360570830911
6215,0,0.301736036113156
1098,0,0.301736036113156
7216,0,0.215360570830911
8815,1,0.215360570830911
10014,1,0.202651974617192
7895,0,0.215360570830911
8911,1,0.339651837111545
8032,1,0.215360570830911
8129,1,0.215360570830911
10486,1,0.349603409719124
9380,1,0.377236377837609
5530,0,0.311414425914513
2230,0,0.215360570830911
6890,0,0.362849525738032
9517,1,0.389755057279198
4889,0,0.215360570830911
8990,1,0.215360570830911
1381,0,0.215360570830911
9320,1,0.359821364293664
8002,1,0.202651974617192
9281,1,0.338506213066749
9020,1,0.215360570830911
8662,1,0.397889066646076
9022,1,0.215360570830911
9888,1,0.380458387143797
6010,0,0.395612164544826
7194,0,0.314458949459943
5279,0,0.215360570830911
8663,1,0.407629428163999
3681,0,-0.0254319723186748
539,0,-0.0254319723186748
4194,0,0.202651974617192
9608,1,0.427195097051663
3296,0,0.369070164296478
781,0,0.215360570830911
7984,0,0.387065686450705
4048,0,0.138582479661004
3817,0,0.0936477692444842
2787,0,0.215360570830911
6447,0,0.0707680903817635
3938,0,0.377236377837609
7437,0,0.387065686450705
4869,0,0.215360570830911
6125,0,0.359821364293664
2345,0,0.138582479661004
5642,0,0.260999467553662
597,0,0.0936477692444842
6894,0,0.384152799853728
2133,0,0.215360570830911
7506,0,0.0495960461960563
6319,0,0.215360570830911
846,0,0.202651974617192
8275,1,0.326015374407899
5506,0,0.295608820647924
9412,1,0.278772946233641
2944,0,0.215360570830911
8571,1,0.395612164544826
4282,0,0.282897472030726
728,0,0.0495960461960563
6150,0,-0.0139342077829075
10239,1,0.215360570830911
858,0,0.295608820647924
9644,1,0.359821364293664
3068,0,0.295608820647924
9345,1,0.338506213066749
7494,0,0.215360570830911
3388,0,0.351894566145787
5492,0,0.362849525738032
1083,0,-0.0139342077829075
6886,0,0.215360570830911
2147,0,0.215360570830911
4704,0,0.351894566145787
6449,0,0.362849525738032
8509,1,0.282897472030726
17,0,0.314458949459943
983,0,0.215360570830911
1386,0,0.377236377837609
3795,0,0.00342251193175566
3324,0,0.250064483613334
3743,0,0.0478054037058022
5338,0,0.326142381688405
9177,1,0.278772946233641
5860,0,0.387065686450705
1177,0,0.215360570830911
5599,0,0.372380039448386
6057,0,0.397889066646076
3847,0,0.138582479661004
8612,1,0.250064483613334
3287,0,0.295608820647924
6074,0,0.202651974617192
366,0,0.00342251193175566
2921,0,0.288814930941311
6729,0,0.160460411515616
7189,0,0.242286153220438
