testy,V1
6184,0,0.0712682150838966
9203,1,0.59271910694752
5884,0,-0.0912879171461155
3905,0,-0.0256504103047246
2710,0,0.248262941161966
4419,0,-0.357476701405361
2322,0,-0.0234481519873512
2865,0,-0.00895148812401303
5772,0,-0.284649914835287
4068,0,0.265323831472986
4060,0,0.340304469892875
7513,0,0.0178163138841249
1189,0,0.118447451366654
5272,0,-0.0486991537347772
6471,0,-0.00606797695815559
2541,0,0.673543930049179
1613,0,0.162668187905524
4700,0,0.226143533433438
7030,0,0.0418997052825702
10365,1,0.198009794307319
9637,1,0.635149287302133
426,0,0.361699996431407
955,0,0.694451831892093
10168,1,-0.16307152211244
9423,1,0.661136819066581
8587,1,1.32124098361569
8543,1,0.496384873684177
1256,0,0.26644882262593
7400,0,0.759426348919807
4900,0,-0.0327694938404424
3425,0,-0.0225100629579323
4074,0,0.220483634349533
3575,0,0.0931364726340472
2057,0,0.0710275622066343
4576,0,0.0421189069171697
8298,1,0.117579224586014
4782,0,0.635588875726267
9730,1,-0.0817114159570937
2783,0,-0.044103153061761
3927,0,0.298575800101752
1080,0,0.326783359101769
6009,0,0.381508143200736
7010,0,0.42732773527754
717,0,0.517665795326259
4767,0,-0.0192254315409511
8226,1,0.489839263679426
1258,0,0.343403576121468
9183,1,0.718851011789087
9535,1,0.567470995321611
1542,0,-0.0424156647766304
3803,0,-0.0645871118456596
55,0,0.132337116878798
1242,0,-0.0247595553769704
1481,0,0.0289539540230962
8344,1,0.303567864579307
5192,0,0.646702803316498
5276,0,0.434853925085221
3637,0,-0.0872366657649782
6921,0,0.0692414222710238
5194,0,0.417963926694091
1473,0,-0.072533100328341
295,0,0.123266166361972
6830,0,-0.000669784158398329
7782,0,0.509125358328646
1665,0,-0.00320987462456324
5889,0,0.0931189847988849
6629,0,0.13354774956197
3331,0,0.355635695366189
3935,0,-0.0359498148623713
7249,0,-0.258026619523072
3509,0,0.294498821440277
1514,0,0.0708438244262976
9237,1,0.107166486184924
10165,1,0.930916547206873
988,0,-0.167376875455705
4836,0,0.0690066339991884
189,0,0.112608194495692
2422,0,0.018702228956528
6643,0,0.0963016930524371
10219,1,0.294661069244747
9070,1,0.426939241342581
5545,0,-0.0146352509927816
3328,0,-0.164005990418835
6603,0,-0.160985070558519
2237,0,0.0211375478226832
9770,1,0.603414487398435
2449,0,0.069253366109669
8034,1,0.736182930403828
3453,0,0.0136024153044125
9863,1,0.68046305898249
9621,1,0.190761124503309
3483,0,0.930471553981326
8844,1,0.479037880916381
7562,0,0.0571281588699777
10261,1,0.566592201633904
5481,0,0.784703442815201
1211,0,-0.0322667084416724
6506,0,0.227485069999548
8961,1,0.816756945071073
3680,0,0.132891239651379
9939,1,0.700870077890579
3852,0,0.0882483288361869
10488,1,1.22924846074269
9873,1,-0.11599535952941
158,0,0.0423073519828038
1341,0,-0.144726799247449
5040,0,0.120083620296371
9346,1,0.92973279702566
307,0,0.0799288404630758
9290,1,-0.181567151261138
9079,1,0.988652181608233
960,0,0.13643184395
8151,1,0.284583844309898
7254,0,0.0784243807821692
5468,0,0.353201464973049
8003,1,0.915121884904529
5252,0,0.62070964581045
7547,0,0.622339833676268
8619,1,0.829604608404557
5539,0,-0.0178643889415344
2367,0,0.0174323377770033
1718,0,-0.145764905629362
10085,1,0.133286193665431
4734,0,0.608579587478491
5215,0,-0.418275845207375
5940,0,0.103447343549925
4967,0,-0.0832529873871949
8997,1,0.159133481120163
865,0,0.0576177093768068
3478,0,0.0339275226526424
9012,1,0.369911874050819
6848,0,0.0514492939067985
6698,0,-0.00579135304883172
2443,0,0.719365685259875
5595,0,-0.00952400151742755
251,0,-0.119030669493392
8127,1,0.17712215385866
7365,0,0.0242762043006
4277,0,-0.0107357133987746
964,0,0.0678059893688935
8652,1,0.338946332914715
8147,1,0.900954272981265
4633,0,-0.0151810189455865
4479,0,-0.00357829667940823
8713,1,0.462615748806307
3690,0,0.399642230379679
3771,0,0.119383965103737
4012,0,0.0128813743611593
7433,0,0.0169181181343712
2135,0,0.0957354180486202
4365,0,0.123738722539508
8542,1,0.890938438540486
8460,1,0.347217615774404
7832,0,0.102372535129931
8649,1,0.0686055022473247
5307,0,0.00667575048700558
7082,0,0.159799373298861
9993,1,0.222906873574553
1688,0,-0.159582682363216
6440,0,-0.0207591421886681
5941,0,0.0181922331131747
6730,0,-0.318875175440641
7,0,0.469588524416188
7988,0,-0.0300067594152632
6791,0,0.0780015152673298
10381,1,0.232369403044544
6836,0,0.160045690662287
5405,0,0.0359445003027297
9078,1,0.769791210076013
5546,0,0.185515739095523
4608,0,-0.0813532341668542
4933,0,0.00357453252115003
1007,0,-0.0639788596113049
8451,1,0.137771367173193
4465,0,-0.217005427835078
333,0,0.288056144721884
6400,0,0.542278418810935
9567,1,0.432465118343997
6426,0,-0.0372927716972134
9302,1,0.570790783979119
7869,0,0.378254848349594
6490,0,-0.0622143428584475
7080,0,0.467582672187868
7318,0,-0.0399391847606319
8752,1,0.19766658052251
1282,0,-0.113254568444126
927,0,-0.0384177832363235
5334,0,0.3581088880121
3589,0,-0.040686859328951
6288,0,0.0727310855012525
10134,1,0.900768319827506
2200,0,0.642085432878673
1517,0,0.536207877979032
705,0,-0.16578219192533
560,0,-0.0231115428954359
8800,1,0.429619484375672
2432,0,-0.143570534036135
6900,0,0.053463218252443
1768,0,0.076777709928095
6464,0,0.273996229563812
7000,0,0.0653820071634808
7435,0,0.39782481714085
3006,0,0.110914270300281
2794,0,0.287921685233907
7032,0,0.207956580135207
7860,0,0.0769341247006141
241,0,0.0638166946731835
6422,0,-0.0111013090495864
10195,1,0.143444249330719
3944,0,0.391057630703617
10108,1,0.683381235035071
6149,0,0.219180884527659
2156,0,0.330015114800574
10139,1,0.60584605181548
1520,0,0.453417292738457
7359,0,0.000780757585257752
9475,1,0.776227928593113
2257,0,0.0425688154821395
2580,0,-0.00662160916442789
2749,0,0.203965120476043
2091,0,0.0189081221423417
506,0,0.252875987395295
1851,0,-0.0690658963526628
6405,0,0.445826390423704
9800,1,0.220390026355819
1168,0,-0.00171353221887011
7395,0,-0.018599972161971
1191,0,0.408129287313294
4914,0,0.0768369209118186
5428,0,0.0153111711893377
1874,0,-0.0395934089299222
3780,0,0.0865997174505974
5535,0,0.498371326066132
5116,0,0.00376280086666358
9393,1,0.561164708468794
1941,0,-0.324013698590674
7291,0,0.436144811990796
7884,0,0.302084225883096
9758,1,0.332541189257807
7023,0,0.0197686343621209
9322,1,0.682884320596403
9452,1,-0.122062693955855
1749,0,-0.066251200514935
3961,0,-0.00259041308942018
4409,0,-0.0998809828504712
8407,1,0.901992927356619
7008,0,-0.000822297199284616
4946,0,0.02165716197753
779,0,0.0703258785908165
